iter	Passed	Remaining
0	1	119
1	1	95
2	2	84
3	3	75
4	3	74
5	4	70
6	5	70
7	6	69
8	6	67
9	7	65
10	7	64
11	8	64
12	9	64
13	10	63
14	11	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	55
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	68	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
